godina,jan,feb,mar,apr,maj,jun,jul,avg,sep,okt,nov,dec,prosek,zima,proleće,leto,jesen,tsr-amp-mes,tsr leto-zima
1915.0,3.3,3.0,5.2,10.4,15.7,20.4,20.9,18.7,14.4,10.9,5.1,6.0,11.1666666666667,3.53333333333333,10.4333333333333,20.0,10.1333333333333,17.9,16.4666666666667
1916.0,3.1,1.6,10.3,11.2,16.3,20.6,21.6,20.3,15.5,11.6,8.3,5.9,12.1916666666667,3.56666666666667,12.6,20.8333333333333,11.8,20.0,17.2666666666667
1917.0,1.4,-4.7,5.1,11.0,16.5,20.9,21.8,23.7,19.3,13.4,6.7,0.0,11.2583333333333,0.866666666666667,10.8666666666667,22.1333333333333,13.1333333333333,28.4,21.2666666666667
1918.0,2.7,1.4,6.1,14.6,16.0,18.3,21.7,20.7,20.7,12.9,5.1,2.4,11.8833333333333,1.36666666666667,12.2333333333333,20.2333333333333,12.9,20.3,18.8666666666667
1919.0,3.8,0.2,7.4,10.3,11.0,18.9,19.6,20.4,19.5,10.9,6.7,1.8,10.875,2.13333333333333,9.56666666666667,19.6333333333333,12.3666666666667,20.2,17.5
1920.0,3.6,2.4,8.0,15.2,18.2,19.1,22.3,21.0,17.8,8.5,1.6,2.7,11.7,2.6,13.8,20.8,9.3,20.7,18.2
1921.0,4.9,1.8,8.6,11.6,18.6,18.3,22.9,23.1,16.4,11.7,3.1,0.2,11.7666666666667,3.13333333333333,12.9333333333333,21.4333333333333,10.4,22.9,18.3
1922.0,-1.5,-2.6,10.2,11.6,16.7,20.6,22.7,22.6,17.0,9.9,3.4,2.2,11.0666666666667,-1.3,12.8333333333333,21.9666666666667,10.1,25.3,23.2666666666667
1923.0,1.4,2.0,7.5,11.8,19.3,18.2,23.1,22.8,19.3,15.9,11.5,2.7,12.9583333333333,1.86666666666667,12.8666666666667,21.3666666666667,15.5666666666667,21.7,19.5
1924.0,-3.4,-0.3,5.2,11.6,18.6,20.1,20.7,19.1,19.1,11.9,3.6,0.6,10.5666666666667,-0.333333333333333,11.8,19.9666666666667,11.5333333333333,24.1,20.3
1925.0,0.6,7.3,5.7,12.9,17.2,17.6,21.3,20.3,15.9,11.7,7.8,-0.3,11.5,2.83333333333333,11.9333333333333,19.7333333333333,11.8,21.6,16.9
1926.0,0.8,5.4,5.3,13.7,15.7,18.4,19.6,18.5,17.7,13.9,13.0,13.0,12.9166666666667,1.96666666666667,11.5666666666667,18.8333333333333,14.8666666666667,18.8,16.8666666666667
1927.0,2.4,0.2,9.7,12.8,16.8,22.3,23.9,22.8,19.5,11.8,8.3,-1.6,12.4083333333333,1.6,13.1,23.0,13.2,25.5,21.4
1928.0,0.5,1.1,4.1,13.0,13.8,20.2,26.0,23.7,19.0,12.1,9.2,1.0,11.975,0.0,10.3,23.3,13.4333333333333,25.5,23.3
1929.0,-0.4,-9.2,2.4,8.4,17.6,19.8,21.7,22.6,16.4,13.9,9.0,3.7,10.4916666666667,-2.86666666666667,9.46666666666667,21.3666666666667,13.1,31.8,24.2333333333333
1930.0,1.7,2.4,9.5,13.4,16.2,21.8,23.1,21.6,19.8,12.8,9.9,2.1,12.8583333333333,2.6,13.0333333333333,22.1666666666667,14.1666666666667,21.4,19.5666666666667
1931.0,1.5,2.6,4.0,10.4,19.4,22.6,24.2,22.7,14.1,11.0,5.6,-0.1,11.5,2.06666666666667,11.2666666666667,23.1666666666667,10.2333333333333,24.3,21.1
1932.0,-1.1,-5.1,0.0,11.6,17.9,19.8,23.4,22.4,21.9,15.1,5.7,2.0,11.1333333333333,-2.1,9.83333333333333,21.8666666666667,14.2333333333333,28.5,23.9666666666667
1933.0,-3.1,1.8,6.6,8.9,14.8,17.5,21.1,20.3,16.6,13.1,7.9,-4.1,10.1166666666667,0.233333333333333,10.1,19.6333333333333,12.5333333333333,25.2,19.4
